Series,Type,ID,Title-EN,BCV-EN,Verse-EN,Title-KR,BCV-KR,Verse-KR
04,N,1,Jacob,Genesis 25:26,Then the other twin was born with his hand grasping Esau’s heel. So they named him Jacob. Isaac was sixty years old when the twins were born.,야곱,창세기 25:26,나중에 나온 그의 동생은 손으로 에서의 발꿈치를 꽉 잡았으므로 그 이름을 ‘야곱’ 이라고 하였다. 리브가가 그들을 낳았을 때 이삭은 60세였다.
04,N,2,Twelve Sons of Jacob,Genesis 35:23-26,"(23) The sons of Leah were Reuben (Jacob’s oldest son), Simeon, Levi, Judah, Issachar, and Zebulun. (24) The sons of Rachel were Joseph and Benjamin. (25) The sons of Bilhah, Rachel’s servant, were Dan and Naphtali. (26) The sons of Zilpah, Leah’s servant, were Gad and Asher. These are the names of the sons who were born to Jacob at Paddan-aram.",야곱의 열두명 아들,창세기 35:23-26,"(23) 레아가 낳은 아들들은 야곱의 장남 르우벤과 그리고 시므온, 레위, 유다, 잇사갈, 스불론이며 (24) 라헬이 낳은 아들들은 요셉과 베냐민이고 (25) 라헬의 여종 빌하가 낳은 아들들은 단과 납달리이며 (26) 레아의 여종 실바가 낳은 아들들은 갓과 아셀이었다. 이들은 다 메소포타미아에서 낳은 야곱의 아들들이었다."
04,N,3,Reuben - Joseph's Oldest Brother,Genesis 37:21-22,"(21) But when Reuben heard of their scheme, he came to Joseph’s rescue. “Let’s not kill him,” he said. (22) “Why should we shed any blood? Let’s just throw him into this empty cistern here in the wilderness. Then he’ll die without our laying a hand on him.” Reuben was secretly planning to rescue Joseph and return him to his father.",르우벤-요셉의 형,창세기 37:21-22,(21) 그때 르우벤이 이 말을 듣고 요셉을 구하려고 이렇게 말하였다. “우리가 그를 죽이지는 말자. (22) 그를 이 구덩이에 던져 넣고 그에게 손은 대지 말아라.” 르우벤이 이렇게 말한 것은 요셉을 그들에게서 구출하여 그를 아버지에게 돌려보내기 위해서였다.
04,N,4,Judah - Joseph's Brother,Genesis 37:26-27,"(26) Judah said to his brothers, “What will we gain by killing our brother? We’d have to cover up the crime. (27) Instead of hurting him, let’s sell him to those Ishmaelite traders. After all, he is our brother—our own flesh and blood!” And his brothers agreed.",유다-요셉의 형,창세기 37:26-27,"(26) 이때 유다가 자기 형제들에게 “우리가 우리 동생을 죽이고 그 사실을 숨긴들 무슨 유익이 있겠느냐? (27) 자, 그를 이스마엘 사람들에게 팔아 넘기고 그에게 손을 대지 말자. 그도 우리와 살과 피를 나눈 우리의 형제이다” 하자 그의 형제들이 그의 말에 동의하였다."
04,N,5,20 Pieces of Silver,Genesis 37:28,"So when the Ishmaelites, who were Midianite traders, came by, Joseph’s brothers pulled him out of the cistern and sold him to them for twenty pieces of silver. And the traders took him to Egypt.",은화 20개,창세기 37:28,미디안 상인들이 지나갈 때 그들은 요셉을 구덩이에서 끌어올려 은화 20개를 받고 그를 이스마엘 사람들에게 팔았다. 그러자 그 대상들은 요셉을 데리고 이집트로 갔다.
04,N,6,Joseph's Coat of Many Colors,Genesis 37:3,Jacob loved Joseph more than any of his other children because Joseph had been born to him in his old age. So one day Jacob had a special gift made for Joseph—a beautiful robe.,요셉의 화려한 겉옷,창세기 37:3,야곱은 노년에 요셉을 얻었으므로 다른 아들보다 그를 특별히 사랑하여 화려하게 장식한 긴 겉옷을 만들어 입혔다
04,N,7,Joseph's Dream of Wheat,Genesis 37:7,"“We were out in the field, tying up bundles of grain. Suddenly my bundle stood up, and your bundles all gathered around and bowed low before mine!”",요셉의 꿈에 나온 곡식,창세기 37:7,우리가 들에서 곡식단을 묶고 있는데 갑자기 내 단이 일어서고 형님들의 단은 내 단을 둘러서서 절하였습니다” 하자
04,N,8,Joseph's Dream of Stars,Genesis 37:9,"Soon Joseph had another dream, and again he told his brothers about it. “Listen, I have had another dream,” he said. “The sun, moon, and eleven stars bowed low before me!”",요셉의 꿈에 나온 별,창세기 37:9,요셉은 다시 꿈을 꾸고 형들에게 “내가 또 다른 꿈을 꾸었는데 꿈에 보니 해와 달과 열한 개의 별이 나에게 절하였습니다” 하고
04,N,9,Potiphar,Genesis 39:1,"When Joseph was taken to Egypt by the Ishmaelite traders, he was purchased by Potiphar, an Egyptian officer. Potiphar was captain of the guard for Pharaoh, the king of Egypt.",보디발,창세기 39:1,이스마엘 사람들이 요셉을 이집트로 데려가자 바로의 신하이며 경호 대장인 이집트 사람 보디발이 그를 샀다.
04,N,10,Potiphar's Wife,Genesis 39:10,"She kept putting pressure on Joseph day after day, but he refused to sleep with her, and he kept out of her way as much as possible.",보디발의 아내,창세기 39:10,그녀는 날마다 요셉에게 치근거렸지만 요셉은 거절하며 그녀와 잠자리를 같이하지도 않고 그녀와 함께 있지도 않았다.
04,N,11,Pharaoh's Chief Cup Bearer,Genesis 40:9-11,"(9) So the chief cup-bearer told Joseph his dream first. “In my dream,” he said, “I saw a grapevine in front of me. (10) The vine had three branches that began to bud and blossom, and soon it produced clusters of ripe grapes. (11) I was holding Pharaoh’s wine cup in my hand, so I took a cluster of grapes and squeezed the juice into the cup. Then I placed the cup in Pharaoh’s hand.”",바로의 술따르는 신하,창세기 40:9-11,(9) 그러자 왕의 술을 따르던 신하가 이렇게 말하였다. “내가 꿈에 보니 내 앞에 포도나무가 있는데 (10) 그 나무에 세 가지가 있고 그것이 싹이 나자마자 꽃이 피고 포도송이가 달려 곧 익었다. 11 그리고 나는 이때 왕의 술잔을 들고 있었다. 그래서 내가 그 포도를 따서 포도즙을 만들어 왕의 술잔에 붓고 그것을 왕에게 갖다 드렸다.”
04,N,12,Pharaoh's Chief Baker,Genesis 40:16-17,"(16) When the chief baker saw that Joseph had given the first dream such a positive interpretation, he said to Joseph, “I had a dream, too. In my dream there were three baskets of white pastries stacked on my head. (17) The top basket contained all kinds of pastries for Pharaoh, but the birds came and ate them from the basket on my head.”",바로의 제빵사,창세기 40:16-17,(16) 빵 굽던 신하가 요셉이 그 꿈을 좋게 해석하는 것을 보고 그에게 말하였다. “나도 꿈을 꾸었는데 빵을 담은 광주리 세 개가 내 머리 위에 있고 (17) 제일 윗 광주리에는 왕을 위해 만든 여러 가지 구운 음식이 있었으나 새들이 그것을 먹고 있었다.”
04,N,13,Pharaoh's Skinny Cow Dream,Genesis 41:2-4,"2 In his dream he saw seven fat, healthy cows come up out of the river and begin grazing in the marsh grass. 3 Then he saw seven more cows come up behind them from the Nile, but these were scrawny and thin. These cows stood beside the fat cows on the riverbank. 4 Then the scrawny, thin cows ate the seven healthy, fat cows! At this point in the dream, Pharaoh woke up.",바로의 꿈에 나온 깡마른 소,창세기 41:2-4,(2) 건강하고 살진 암소 일곱 마리가 강에서 올라와 풀을 뜯어먹고 있었다. (3) 그 뒤에 흉측하고 뼈만 앙상하게 남은 다른 일곱 마리의 암소가 강에서 올라와 먼저 나온 소들과 함께 강변에 섰는데 (4) 그 흉측하고 깡마른 소들이 건강하고 살진 소들을 먹어 버렸다. 그러고서 바로는 꿈에서 깨어났다.
04,N,14,Pharaoh's Grain Dream,Genesis 41:5-7,"(5) But he fell asleep again and had a second dream. This time he saw seven heads of grain, plump and beautiful, growing on a single stalk. (6) Then seven more heads of grain appeared, but these were shriveled and withered by the east wind. (7) And these thin heads swallowed up the seven plump, well-formed heads! Then Pharaoh woke up again and realized it was a dream.",바로의 꿈에 나온 곡식,창세기 41:5-7,(5) 그는 다시 잠이 들어 두 번째 꿈을 꾸었는데 줄기 하나에 무성하고 알찬 일곱 이삭이 나오고 (6) 그 후에 사막의 바람에 말라붙어 쭉정이가 된 다른 일곱 이삭이 그 줄기에서 나와 (7) 먼저 나온 무성하고 알찬 일곱 이삭을 삼켜 버렸다. 그러고서 바로가 깨어 보니 그것이 꿈이었다.
04,N,15,Seven Years of Plenty,Genesis 41:47-49,"(47) As predicted, for seven years the land produced bumper crops. (48) During those years, Joseph gathered all the crops grown in Egypt and stored the grain from the surrounding fields in the cities. (49) He piled up huge amounts of grain like sand on the seashore. Finally, he stopped keeping records because there was too much to measure.",7년 동안의 풍년,창세기 41:47-49,(47) 7년 동안의 풍년으로 그 땅에는 농산물이 엄청나게 많았다. (48) 그래서 요셉은 7년 동안 그 모든 곡식을 거두어 각 성에 비축했는데 각 성의 주변 밭에서 난 곡식은 그 성에 저장하도록 하였다. (49) 이와 같이 요셉이 거두어 저장한 곡식이 바다의 모래처럼 많아 비축량을 계산할 수가 없었다.
04,N,16,Seven Years of Famine,Genesis 41:54,"Then the seven years of famine began, just as Joseph had predicted. The famine also struck all the surrounding countries, but throughout Egypt there was plenty of food.",7년동안의 흉년,창세기 41:54,요셉의 말대로 7년 흉년이 시작되었다. 이때 다른 나라에는 기근이 들어 굶주렸으나 이집트 전역에는 식량이 있었다.
04,N,17,Simeon - Joseph's Older Brother,Genesis 42:24,"Now he turned away from them and began to weep. When he regained his composure, he spoke to them again. Then he chose Simeon from among them and had him tied up right before their eyes.",시몬-요셉의 형,창세기 42:24,요셉은 잠시 그들을 떠났다가 울고서 다시 돌아와 그들과 말하는 중에 시므온을 끌어내어 그들 앞에서 묶었다.
04,N,18,Benjamin-Joseph's Younger Brother,Genesis 43:29,"Then Joseph looked at his brother Benjamin, the son of his own mother. “Is this your youngest brother, the one you told me about?” Joseph asked. “May God be gracious to you, my son.”",베냐민-요셉의 동생,창세기 43:29,요셉은 자기 친동생인 베냐민을 보고 “이 사람이 너희가 나에게 말한 너희 막내 동생이냐?” 하고 묻고 그에게 “하나님이 너에게 은혜 베푸시기를 원한다” 하였다.
04,N,19,Joseph's Silver Cup,Genesis 44:1-2,"When his brothers were ready to leave, Joseph gave these instructions to his palace manager: “Fill each of their sacks with as much grain as they can carry, and put each man’s money back into his sack. 2 Then put my personal silver cup at the top of the youngest brother’s sack, along with the money for his grain.” So the manager did as Joseph instructed him.",자루 속에 든 은잔,창세기 44:1-2,요셉은 자기 집안 일을 맡은 하인에게 이렇게 지시하였다. “너는 각 사람의 자루에 가져갈 수 있을 만큼 양식을 채우고 각자의 돈도 그 자루에 넣어라. (2) 그리고 제일 막내 동생의 자루에는 내 은잔을 넣고 그의 곡식 값도 함께 넣어 주어라.” 그래서 그는 요셉이 시키는 대로 하고
04,N,20,The Land of Egypt,Genesis 45:19-20,"(19) Then Pharaoh said to Joseph, “Tell your brothers, ‘Take wagons from the land of Egypt to carry your little children and your wives, and bring your father here. (20) Don’t worry about your personal belongings, for the best of all the land of Egypt is yours.’”",이집트의 땅,창세기 45:19-20,(19) 또 너는 그들에게 이집트에서 수레를 가지고 가서 그들의 처자들과 아버지를 태워서 데려오라고 하라. (20) 그들이 가져오지 못하는 물건에 대해서는 염려할 필요가 없다. 이집트의 제일 좋은 것이 다 그들의 것이 될 것이다.”
04,N,21,Pharaoh during Moses's Time,Exodus 1:8,"Eventually, a new king came to power in Egypt who knew nothing about Joseph or what he had done.",모세시대의 바로,출애굽기 1:8,그때 요셉을 알지 못하는 새 왕이 일어나 이집트를 다스렸는데
04,N,22,Basket by the River,Exodus 2:3,"But when she could no longer hide him, she got a basket made of papyrus reeds and waterproofed it with tar and pitch. She put the baby in the basket and laid it among the reeds along the bank of the Nile River.",강변근처의 바구니,출애굽기 2:3,더 이상 숨길 수가 없어서 갈대 상자를 구해 물이 새지 않도록 역청과 나무 진을 칠하고 아이를 담아 그 상자를 나일 강변의 갈대 사이에 두었다.
04,N,23,Pharaoh's Daughter,Exodus 2:6,"When the princess opened it, she saw the baby. The little boy was crying, and she felt sorry for him. “This must be one of the Hebrew children,” she said.",바로의 딸,출애굽기 2:6,그런데 그 상자를 열어 보니 그 속에 아이가 들어 있지 않겠는가! 아이가 울자 공주는 그를 측은하게 생각하며 “히브리 사람의 아이구나!” 하였다.
04,N,24,Moses,Exodus 2:10,"Later, when the boy was older, his mother brought him back to Pharaoh’s daughter, who adopted him as her own son. The princess named him Moses, for she explained, “I lifted him out of the water.”",모세,출애굽기 2:10,그 아이가 제법 자랐을 때 그를 바로의 딸에게 데리고 가자 공주는 그를 양자로 삼고 “내가 그를 물에서 건져내었다” 하고 그 이름을 모세라고 지었다.
04,N,25,The Burning Bush,Exodus 3:2,"There the angel of the Lord appeared to him in a blazing fire from the middle of a bush. Moses stared in amazement. Though the bush was engulfed in flames, it didn’t burn up.",떨기나무 불꽃,출애굽기 3:2,그런데 여호와의 천사가 떨기나무 불꽃 가운데서 그에게 나타났다. 모세가 보니 떨기나무에 불이 붙었으나 그 떨기나무가 타서 없어지지 않았다.
04,N,26,Signs of the Lord’s Power,Exodus 4:6-7,"(6) Then the Lord said to Moses, “Now put your hand inside your cloak.” So Moses put his hand inside his cloak, and when he took it out again, his hand was white as snow with a severe skin disease. (7) “Now put your hand back into your cloak,” the Lord said. So Moses put his hand back in, and when he took it out again, it was as healthy as the rest of his body.",모세에게 보여신기적,출애굽기 4:6-7,(6) 그러고서 여호와께서 다시 모세에게 “네 손을 품에 넣어라” 하고 말씀하셨다. 그래서 모세가 손을 품에 넣었다가 꺼내 보니 그 손이 문둥병에 걸려 눈처럼 희어졌다. (7) 그때 여호와께서 “네 손을 다시 품에 넣어라” 하고 말씀하셨다. 그래서 그가 다시 손을 품에 넣었다가 꺼내 보니 손이 전과 같이 정상대로 되었다.
04,N,27,Aaron - Moses's Brother,Exodus 4:14,"Then the Lord became angry with Moses. “All right,” he said. “What about your brother, Aaron the Levite? I know he speaks well. And look! He is on his way to meet you now. He will be delighted to see you.",아론-모세의 동생,출애굽기 4:14,여호와께서 모세에게 노하시며 말씀하셨다. “레위 사람 네 형 아론은 어떻느냐? 그는 말을 잘한다. 그가 지금 너를 만나려고 오고 있으니 그가 너를 보면 기뻐할 것이다.
04,N,28,Aaron's Serpent Staff,Exodus 7:10,"So Moses and Aaron went to Pharaoh and did what the Lord had commanded them. Aaron threw down his staff before Pharaoh and his officials, and it became a serpent!",아론-뱀으로 변한 지팡이,출애굽기 7:10,그래서 모세와 아론은 바로에게 가서 여호와께서 명령하신 대로 했는데 아론이 바로와 그의 신하들 앞에 자기 지팡이를 던지자 그것이 뱀이 되었다.
04,N,29,Plague of Blood,Exodus 7:20-21,"(20) So Moses and Aaron did just as the Lord commanded them. As Pharaoh and all of his officials watched, Aaron raised his staff and struck the water of the Nile. Suddenly, the whole river turned to blood! (21) The fish in the river died, and the water became so foul that the Egyptians couldn’t drink it. There was blood everywhere throughout the land of Egypt.",피의 재앙,출애굽기 7:20-21,(20) 그래서 모세와 아론이 여호와께서 명령하신 대로 바로와 그 신하들 앞에서 지팡이를 들어 강물을 쳤다. 그러자 그 물이 다 피로 변하고 (21) 물고기가 죽었으며 물에서는 악취가 나서 이집트 사람들이 그 물을 마실 수 없게 되었고 이집트 곳곳에는 피가 있었다.
04,N,30,Plague of Frogs,Exodus 8:6,"So Aaron raised his hand over the waters of Egypt, and frogs came up and covered the whole land!",개구리의 재앙,출애굽기 8:6,그래서 아론이 지팡이를 든 팔을 이집트 물 위에 펴자 개구리가 올라와 그 땅을 뒤덮었다.
04,N,31,Plague of Gnats,Exodus 8:17,"So Moses and Aaron did just as the Lord had commanded them. When Aaron raised his hand and struck the ground with his staff, gnats infested the entire land, covering the Egyptians and their animals. All the dust in the land of Egypt turned into gnats.",이의 재앙,출애굽기 8:17,그래서 아론이 지팡이를 들어 땅의 티끌을 치자 이집트의 모든 티끌이 이가 되어 사람과 짐승에게 달라붙었다.
04,N,32,Plague of Flies,Exodus 8:24,And the Lord did just as he had said. A thick swarm of flies filled Pharaoh’s palace and the houses of his officials. The whole land of Egypt was thrown into chaos by the flies.,파리떼의 재앙,출애굽기 8:24,여호와께서 말씀하신 대로 파리떼를 보내시자 바로의 궁전과 신하들의 집과 이집트 온 땅에 파리가 득실거려 피해가 막심하였다.
04,N,33,Plague of Pestilence of Livestock,Exodus 9:6,"And the Lord did just as he had said. The next morning all the livestock of the Egyptians died, but the Israelites didn’t lose a single animal.",가축 돌림병의 재앙,출애굽기 9:6,다음날 여호와께서 말씀하신 대로 이 일을 행하시자 이집트의 모든 짐승이 죽었다. 그러나 이스라엘 자손의 짐승은 하나도 죽지 않았다.
04,N,34,Plague of Boils,Exodus 9:10,"So they took soot from a brick kiln and went and stood before Pharaoh. As Pharaoh watched, Moses threw the soot into the air, and boils broke out on people and animals alike.",악성종기의 재앙,출애굽기 9:10,그래서 그들은 가마의 재를 가지고 바로 앞에 섰다. 모세가 하늘을 향하여 그 재를 날리자 그 재가 사람과 짐승에게 붙어 악성 종기가 생겼다.
04,N,35,Plague of Hail,Exodus 9:23,"So Moses lifted his staff toward the sky, and the Lord sent thunder and hail, and lightning flashed toward the earth. The Lord sent a tremendous hailstorm against all the land of Egypt.",우박의 재앙,출애굽기 9:23,그래서 모세가 하늘을 향해 그의 지팡이를 들자 여호와께서 뇌성과 우박을 보내시고 번개가 땅을 치게 하셨다.
04,N,36,Plague of Locusts,Exodus 10:13-14,"(13) So Moses raised his staff over Egypt, and the Lord caused an east wind to blow over the land all that day and through the night. When morning arrived, the east wind had brought the locusts. (14) And the locusts swarmed over the whole land of Egypt, settling in dense swarms from one end of the country to the other. It was the worst locust plague in Egyptian history, and there has never been another one like it.",메뚜기의 재앙,출애굽기 10:13-14,(13) 모세가 이집트 땅 위에 그의 지팡이를 뻗치자 여호와께서 동풍을 일으켜 그 날 온 낮과 밤에 바람이 불게 하셨다. 그래서 동풍이 아침에 메뚜기떼를 몰고 왔다. (14) 메뚜기가 이집트 전역을 완전히 덮어 그 피해가 막심하였다. 이런 메뚜기떼는 전에 한 번도 본 적이 없었고 앞으로도 볼 수 없는 것들이었다.
04,N,37,Plague of Darkness,Exodus 10:22-23,"(22) So Moses lifted his hand to the sky, and a deep darkness covered the entire land of Egypt for three days. (23) During all that time the people could not see each other, and no one moved. But there was light as usual where the people of Israel lived.",흑암의 재앙,출애굽기 10:22-23,(22) 그래서 모세가 하늘을 향해 손을 들자 아주 캄캄한 흑암이 3일 동안 이집트 전역을 뒤덮었다. (23) 그 기간 동안 이집트 사람들은 서로 알아볼 수도 없었고 자기 자리에서 일어나는 사람도 없었다. 그러나 이스라엘 자손들이 사는 곳에는 빛이 있었다.
04,N,38,Blood of a Paschal Lamb,Exodus 12:7,They are to take some of the blood and smear it on the sides and top of the doorframes of the houses where they eat the animal.,양의 죽음,출애굽기 12:7,피는 그 양을 먹을 집의 문설주와 상인방에 바르고
04,N,39,Passover,Exodus 12:29,"And that night at midnight, the Lord struck down all the firstborn sons in the land of Egypt, from the firstborn son of Pharaoh, who sat on his throne, to the firstborn son of the prisoner in the dungeon. Even the firstborn of their livestock were killed.",유월절,출애굽기 12:29,밤중에 여호와께서 왕위에 앉은 바로의 장남으로부터 감옥에 있는 죄수의 장남에 이르기까지 이집트의 모든 장남과 그리고 짐승의 처음 난 것을 모조리 죽이셨다.
04,N,40,Bones of Joseph,Exodus 13:19,"Moses took the bones of Joseph with him, for Joseph had made the sons of Israel swear to do this. He said, “God will certainly come to help you. When he does, you must take my bones with you from this place.”",요셉의 유골,출애굽기 13:19,모세는 요셉의 유골을 가지고 나왔는데 이것은 요셉이 이스라엘 자손들에게 맹세까지 시키면서 “하나님이 너희를 구출하시면 너희는 내 유골을 여기서 가지고 나가거라” 하였기 때문이었다.
04,N,41,Pharaoh's Army,Exodus 14:6-7,"(6) So Pharaoh harnessed his chariot and called up his troops. (7) He took with him 600 of Egypt’s best chariots, along with the rest of the chariots of Egypt, each with its commander.",바로의 군대,출애굽기 14:6-7,(6) 곧 자기 전차를 갖추어 군대를 이끌고 추격에 나섰다. (7) 이집트 장교들이 이끄는 제일 우수한 전차 600대를 포함한 모든 전차들이 그 뒤를 따랐다.
04,N,42,Parting of the Red Sea,Exodus 14:16,Pick up your staff and raise your hand over the sea. Divide the water so the Israelites can walk through the middle of the sea on dry ground.,홍해의 기적,출애굽기 14:16,그리고 너는 네 지팡이를 들고 손을 바다 위로 내밀어 물이 갈라지게 하라. 그러면 이스라엘 백성이 마른 땅을 밟고 바다를 지나갈 것이다.